Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2021,4,26,00:00,UTC,0.2,-1,3,-,4.6,0.4
2021,4,26,06:00,UTC,-,-,-,0.1,-,-
2021,4,27,00:00,UTC,0.1,-1,3.1,-,5.1,1.5
2021,4,28,00:00,UTC,0,-1,2.7,-,7.6,-2.1
2021,4,28,06:00,UTC,-,-,-,-2.4,-,-
2021,4,29,00:00,UTC,-1,-1,2.9,-,9,-3.2
2021,4,29,06:00,UTC,-,-,-,-6.3,-,-
2021,4,30,00:00,UTC,-1,-1,4,-,10.7,-4.4
2021,4,30,06:00,UTC,-,-,-,-6.7,-,-
2021,5,1,00:00,UTC,-1,-1,4.3,-,9.2,-1.5
2021,5,1,06:00,UTC,-,-,-,-1.9,-,-
2021,5,2,00:00,UTC,-1,-1,3.7,-,9.6,-2.3
2021,5,2,06:00,UTC,-,-,-,-2.7,-,-
2021,5,3,00:00,UTC,-1,-1,5.6,-,9.8,-1.6
2021,5,3,06:00,UTC,-,-,-,-1.7,-,-
2021,5,4,00:00,UTC,0,-1,6.2,-,11.3,2.6
2021,5,4,06:00,UTC,-,-,-,2.4,-,-
2021,5,5,00:00,UTC,7.6,-1,3.2,-,5.7,2
2021,5,5,06:00,UTC,-,-,-,2.2,-,-
2021,5,6,00:00,UTC,0.8,-1,5.6,-,9.3,3.4
2021,5,6,06:00,UTC,-,-,-,2.9,-,-
2021,5,7,00:00,UTC,0.1,-1,4.2,-,8.4,2
2021,5,7,06:00,UTC,-,-,-,2.4,-,-
2021,5,8,00:00,UTC,0.1,-1,5,-,10.8,0
2021,5,8,06:00,UTC,-,-,-,-1.4,-,-
2021,5,9,00:00,UTC,4.3,-1,6.4,-,12.8,-1.8
2021,5,9,06:00,UTC,-,-,-,-5.9,-,-
2021,5,10,00:00,UTC,0.9,-1,11.3,-,18.2,6.1
2021,5,10,06:00,UTC,-,-,-,5.5,-,-
2021,5,11,00:00,UTC,-1,-1,17.7,-,25.1,10
2021,5,11,06:00,UTC,-,-,-,8,-,-
2021,5,12,00:00,UTC,-1,-1,17.7,-,24.7,7.9
2021,5,12,06:00,UTC,-,-,-,7.2,-,-
2021,5,13,00:00,UTC,-1,-1,17.9,-,25.6,10.2
2021,5,13,06:00,UTC,-,-,-,9.9,-,-
