"STATION","NAME","DATE","TMAX","TMIN"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-15","75","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-16","76","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-17","74","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-18","78","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-19","77","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-20","79","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-21","76","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-22","75","58"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-23","74","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-24","72","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-25","77","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-26","79","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-27","77","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-28","78","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-29","79","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-30","78","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-31","80","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-01","80","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-02","78","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-03","87","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-04","75","58"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-05","75","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-06","81","59"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-07","78","59"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-08","77","59"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-09","84","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-10","77","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-11","77","59"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-12","81","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-13","94","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-14","106","63"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-15","102","62"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-16","99","69"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-17","94","68"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-18","94","65"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-19",,"63"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-20","83","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-21","93","59"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-22","88","60"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-23","84","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-24","83","62"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-25","77","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-26","72","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-27","73","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-28","73","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-29","72","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-30","74","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-08-31","75","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-01","74","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-02","78","58"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-03","80","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-04","80","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-05","101","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-06","110","62"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-07","106","63"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-08","98","62"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-09","63","60"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-10","67","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-11","80","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-12","87","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-13","73","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-14","76","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-15","81","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-16","84","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-17","83","63"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-18","82","61"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-19","85","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-20","86","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-21","79","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-22","81","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-23","86","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-24","87","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-25","82","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-26","87","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-27","101","60"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-28","103","60"
